source,target,weight
Node2,Node225,8
Node2,Node226,3
Node2,Node227,5
Node2,Node230,2
Node2,Node242,4
Node2,Node252,8
Node2,Node253,2
Node2,Node258,8
Node2,Node261,7
Node2,Node264,10
Node2,Node268,3
Node2,Node273,8
Node2,Node278,3
Node2,Node281,6
Node2,Node282,4
Node2,Node301,1
Node2,Node305,1
Node2,Node325,10
Node2,Node336,7
Node2,Node340,4
Node2,Node341,10
Node2,Node345,6
Node2,Node350,1
Node2,Node358,4
Node2,Node361,2
Node2,Node366,1
Node2,Node368,3
Node2,Node376,5
Node2,Node383,7
Node2,Node392,4
Node2,Node394,3
Node2,Node395,5
Node2,Node396,1
Node2,Node397,3
Node2,Node398,3
Node2,Node399,7
Node2,Node400,7
Node2,Node401,8
Node2,Node406,3
Node2,Node410,4
Node2,Node416,7
Node2,Node419,6
Node2,Node427,10
Node2,Node432,2
Node2,Node434,6
Node2,Node435,5
Node2,Node443,7
Node2,Node448,7
Node2,Node453,7
Node2,Node456,8
Node2,Node467,2
Node2,Node476,6
Node2,Node477,4
Node2,Node479,4
Node2,Node482,10
Node2,Node485,2
Node2,Node493,9
Node2,Node504,6
Node2,Node507,9
Node2,Node510,6
Node2,Node513,10
Node2,Node515,9
Node2,Node519,6
Node2,Node530,7
Node2,Node531,5
Node2,Node540,3
Node2,Node550,7
Node2,Node551,4
Node2,Node554,4
Node2,Node557,1
Node2,Node561,2
Node2,Node565,2
Node2,Node571,4
Node2,Node572,4
Node2,Node574,1
Node2,Node575,7
Node2,Node577,1
Node2,Node581,1
Node2,Node582,4
Node2,Node583,7
Node2,Node585,7
Node2,Node598,4
Node2,Node599,10
Node2,Node621,7
Node2,Node644,1
Node2,Node645,1
Node2,Node663,7
Node2,Node666,1
Node2,Node668,5
Node2,Node673,9
Node2,Node675,6
Node2,Node682,9
Node2,Node683,10
Node2,Node687,3
Node2,Node693,4
Node2,Node705,8
Node2,Node717,3
Node2,Node718,5
Node2,Node725,6
Node2,Node727,4
Node2,Node729,7
Node2,Node734,3
Node2,Node742,10
Node2,Node758,6
Node2,Node761,2
Node2,Node766,4
Node2,Node769,6
Node2,Node770,1
Node2,Node791,9
Node2,Node796,2
Node2,Node798,4
Node2,Node800,7
Node2,Node801,7
Node2,Node802,5
Node2,Node812,8
Node2,Node814,5
Node2,Node816,9
Node2,Node818,7
Node2,Node825,5
Node2,Node833,6
Node2,Node845,5
Node2,Node846,3
Node2,Node851,7
Node2,Node852,10
Node2,Node854,3
Node2,Node865,3
Node2,Node871,1
Node2,Node875,3
Node2,Node880,5
Node2,Node884,4
Node2,Node895,4
Node2,Node906,3
Node2,Node911,9
Node2,Node917,8
Node2,Node918,8
Node2,Node921,6
Node2,Node923,1
Node2,Node924,9
Node2,Node926,9
Node2,Node927,4
Node2,Node947,7
Node2,Node952,2
Node2,Node955,8
Node2,Node961,4
Node2,Node965,4
Node2,Node966,5
Node2,Node980,2
Node2,Node981,2
Node2,Node983,4
Node2,Node984,4
Node2,Node991,8
Node2,Node994,9
Node2,Node996,9
Node2,Node998,1
Node3,Node4,8
Node3,Node11,4
Node3,Node19,6
Node3,Node23,9
Node3,Node30,2
Node3,Node32,7
Node3,Node46,1
Node3,Node49,2
Node3,Node52,7
Node3,Node60,9
Node3,Node68,8
Node3,Node69,5
Node3,Node70,6
Node3,Node73,9
Node3,Node75,7
Node3,Node83,1
Node3,Node85,8
Node3,Node93,1
Node3,Node105,8
Node3,Node108,7
Node3,Node120,10
Node3,Node126,7
Node3,Node134,9
Node3,Node138,10
Node3,Node145,8
Node3,Node163,1
Node3,Node164,9
Node3,Node173,4
Node3,Node180,9
Node3,Node183,7
Node3,Node186,8
Node3,Node190,3
Node3,Node192,2
Node3,Node197,2
Node3,Node209,6
Node3,Node212,9
Node3,Node214,10
Node3,Node218,4
Node3,Node227,5
Node3,Node231,10
Node3,Node236,3
Node3,Node241,2
Node3,Node242,1
Node3,Node245,2
Node3,Node249,1
Node3,Node259,3
Node3,Node265,7
Node3,Node276,4
Node3,Node277,3
Node3,Node280,4
Node3,Node285,6
Node3,Node288,4
Node3,Node295,4
Node3,Node298,5
Node3,Node302,6
Node3,Node309,9
Node3,Node319,5
Node3,Node320,7
Node3,Node326,5
Node3,Node336,5
Node3,Node337,1
Node3,Node341,7
Node3,Node344,7
Node3,Node347,4
Node3,Node362,1
Node3,Node367,9
Node3,Node373,9
Node3,Node378,10
Node3,Node380,3
Node3,Node382,6
Node3,Node391,5
Node3,Node394,1
Node3,Node397,5
Node3,Node399,3
Node3,Node400,10
Node3,Node408,5
Node3,Node420,7
Node3,Node421,7
Node3,Node430,2
Node3,Node440,7
Node3,Node441,3
Node3,Node447,1
Node3,Node448,9
Node3,Node457,3
Node3,Node458,5
Node3,Node460,9
Node3,Node465,2
Node3,Node471,9
Node3,Node485,9
Node3,Node507,6
Node3,Node511,10
Node3,Node512,10
Node3,Node513,8
Node3,Node523,8
Node3,Node532,10
Node3,Node533,10
Node3,Node534,2
Node3,Node536,4
Node3,Node539,7
Node3,Node541,5
Node3,Node545,2
Node3,Node546,7
Node3,Node550,5
Node3,Node554,3
Node3,Node569,4
Node3,Node572,1
Node3,Node578,1
Node3,Node587,9
Node3,Node593,6
Node3,Node599,5
Node3,Node606,1
Node3,Node607,2
Node3,Node610,6
Node3,Node620,3
Node3,Node627,7
Node3,Node630,3
Node3,Node633,8
Node3,Node634,5
Node3,Node636,1
Node3,Node638,4
Node3,Node645,3
Node3,Node649,7
Node3,Node654,2
Node3,Node657,5
Node3,Node670,9
Node3,Node673,4
Node3,Node676,8
Node3,Node683,2
Node3,Node684,1
Node3,Node688,2
Node3,Node691,5
Node3,Node698,3
Node3,Node699,2
Node3,Node709,6
Node3,Node713,10
Node3,Node721,7
Node3,Node724,3
Node3,Node727,5
Node3,Node730,5
Node3,Node731,2
Node3,Node738,8
Node3,Node756,1
Node3,Node757,9
Node3,Node765,5
Node3,Node770,1
Node3,Node779,2
Node3,Node790,6
Node3,Node792,7
Node3,Node794,4
Node3,Node803,1
Node3,Node806,3
Node3,Node814,10
Node3,Node820,3
Node3,Node821,10
Node3,Node822,4
Node3,Node826,5
Node3,Node827,10
Node3,Node830,2
Node3,Node839,9
Node3,Node842,4
Node3,Node845,10
Node3,Node851,6
Node3,Node860,5
Node3,Node865,5
Node3,Node869,10
Node3,Node876,8
Node3,Node877,3
Node3,Node893,10
Node3,Node896,2
Node3,Node900,9
Node3,Node903,8
Node3,Node914,5
Node3,Node930,3
Node3,Node934,6
Node3,Node939,10
Node3,Node941,5
Node3,Node949,4
Node3,Node950,8
Node3,Node951,3
Node3,Node953,7
Node3,Node954,6
Node3,Node961,4
Node3,Node967,10
Node3,Node969,5
Node3,Node971,7
Node3,Node973,10
Node3,Node980,1
Node3,Node981,3
Node3,Node983,10
Node3,Node986,3
Node3,Node989,5
Node3,Node992,6
Node3,Node995,4
Node3,Node996,1
Node4,Node5,10
Node4,Node9,10
Node4,Node13,2
Node4,Node17,5
Node4,Node19,10
Node4,Node22,7
Node4,Node27,8
Node4,Node32,3
Node4,Node34,10
Node4,Node38,2
Node4,Node39,7
Node4,Node40,1
Node4,Node41,10
Node4,Node43,2
Node4,Node57,8
Node4,Node63,10
Node4,Node66,6
Node4,Node70,1
Node4,Node77,4
Node4,Node78,7
Node4,Node79,7
Node4,Node80,5
Node4,Node85,9
Node4,Node110,8
Node4,Node116,7
Node4,Node120,1
Node4,Node135,10
Node4,Node145,9
Node4,Node152,5
Node4,Node159,6
Node4,Node167,5
Node4,Node170,5
Node4,Node185,3
Node4,Node186,3
Node4,Node187,9
Node4,Node194,7
Node4,Node195,9
Node4,Node196,5
Node4,Node200,8
Node4,Node202,9
Node4,Node203,10
Node4,Node204,6
Node4,Node209,5
Node4,Node224,4
Node4,Node230,5
Node4,Node235,4
Node4,Node236,2
Node4,Node239,3
Node4,Node241,10
Node4,Node253,9
Node4,Node267,4
Node4,Node279,9
Node4,Node286,1
Node4,Node288,2
Node4,Node298,9
Node4,Node301,9
Node4,Node311,4
Node4,Node324,5
Node4,Node327,6
Node4,Node329,10
Node4,Node335,4
Node4,Node340,3
Node4,Node342,3
Node4,Node344,7
Node4,Node358,8
Node4,Node362,8
Node4,Node371,2
Node4,Node374,8
Node4,Node376,1
Node4,Node380,6
Node4,Node381,10
Node4,Node390,9
Node4,Node391,5
Node4,Node392,10
Node4,Node401,2
Node4,Node409,7
Node4,Node419,5
Node4,Node424,1
Node4,Node428,4
Node4,Node432,7
Node4,Node433,7
Node4,Node445,10
Node4,Node447,6
Node4,Node451,2
Node4,Node456,8
Node4,Node465,9
Node4,Node468,5
Node4,Node472,5
Node4,Node481,5
Node4,Node484,4
Node4,Node485,5
Node4,Node494,7
Node4,Node495,5
Node4,Node499,9
Node4,Node506,1
Node4,Node507,10
Node4,Node512,8
Node4,Node516,1
Node4,Node518,9
Node4,Node530,1
Node4,Node534,3
Node4,Node544,3
Node4,Node555,5
Node4,Node558,9
Node4,Node564,2
Node4,Node569,8
Node4,Node573,10
Node4,Node580,8
Node4,Node584,6
Node4,Node599,7
Node4,Node602,2
Node4,Node605,3
Node4,Node626,4
Node4,Node628,4
Node4,Node633,9
Node4,Node635,1
Node4,Node636,8
Node4,Node644,8
Node4,Node647,5
Node4,Node650,10
Node4,Node654,9
Node4,Node660,8
Node4,Node664,4
Node4,Node667,2
Node4,Node670,3
Node4,Node674,10
Node4,Node675,3
Node4,Node677,2
Node4,Node687,4
Node4,Node688,10
Node4,Node690,10
Node4,Node698,1
Node4,Node701,6
Node4,Node711,6
Node4,Node712,5
Node4,Node731,4
Node4,Node736,6
Node4,Node738,3
Node4,Node750,2
Node4,Node751,4
Node4,Node752,8
Node4,Node755,10
Node4,Node762,4
Node4,Node763,10
Node4,Node775,4
Node4,Node776,7
Node4,Node777,5
Node4,Node779,8
Node4,Node784,9
Node4,Node788,7
Node4,Node789,1
Node4,Node792,9
Node4,Node793,10
Node4,Node810,6
Node4,Node815,7
Node4,Node816,8
Node4,Node818,2
Node4,Node819,3
Node4,Node825,2
Node4,Node827,9
Node4,Node832,10
Node4,Node837,7
Node4,Node839,4
Node4,Node841,4
Node4,Node846,7
Node4,Node848,6
Node4,Node853,2
Node4,Node871,2
Node4,Node873,6
Node4,Node874,10
Node4,Node880,9
Node4,Node890,4
Node4,Node896,3
Node4,Node898,6
Node4,Node911,7
Node4,Node913,3
Node4,Node914,3
Node4,Node923,4
Node4,Node925,3
Node4,Node928,8
Node4,Node932,2
Node4,Node934,2
Node4,Node937,1
Node4,Node939,1
Node4,Node940,10
Node4,Node946,6
Node4,Node947,3
Node4,Node953,3
Node4,Node965,3
Node4,Node967,2
Node4,Node970,6
Node4,Node973,6
Node4,Node980,6
Node4,Node981,3
Node4,Node993,5
Node5,Node10,4
Node5,Node17,9
Node5,Node32,3
Node5,Node33,10
Node5,Node38,7
Node5,Node41,9
Node5,Node51,1
Node5,Node62,9
Node5,Node68,6
Node5,Node71,2
Node5,Node86,3
Node5,Node91,10
Node5,Node93,5
Node5,Node96,8
Node5,Node103,5
Node5,Node104,7
Node5,Node107,7
Node5,Node109,9
Node5,Node110,4
Node5,Node119,7
Node5,Node130,7
Node5,Node135,3
Node5,Node136,1
Node5,Node138,9
Node5,Node143,6
Node5,Node144,10
Node5,Node154,6
Node5,Node160,6
Node5,Node167,7
Node5,Node175,1
Node5,Node187,10
Node5,Node188,4
Node5,Node189,3
Node5,Node193,1
Node5,Node194,2
Node5,Node195,6
Node5,Node196,2
Node5,Node199,1
Node5,Node202,7
Node5,Node208,2
Node5,Node215,1
Node5,Node221,8
Node5,Node232,5
Node5,Node239,5
Node5,Node241,3
Node5,Node244,2
Node5,Node245,5
Node5,Node250,6
Node5,Node265,2
Node5,Node271,7
Node5,Node273,4
Node5,Node274,7
Node5,Node282,6
Node5,Node287,6
Node5,Node298,8
Node5,Node299,7
Node5,Node311,3
Node5,Node319,3
Node5,Node321,3
Node5,Node327,3
Node5,Node337,1
Node5,Node343,8
Node5,Node347,7
Node5,Node351,7
Node5,Node353,10
Node5,Node360,8
Node5,Node368,9
Node5,Node379,5
Node5,Node380,3
Node5,Node384,4
Node5,Node385,2
Node5,Node395,3
Node5,Node400,8
Node5,Node402,8
Node5,Node427,8
Node5,Node432,2
Node5,Node433,3
Node5,Node440,9
Node5,Node446,8
Node5,Node450,3
Node5,Node451,5
Node5,Node452,2
Node5,Node458,7
Node5,Node460,1
Node5,Node461,6
Node5,Node463,4
Node5,Node465,4
Node5,Node469,2
Node5,Node474,4
Node5,Node480,7
Node5,Node483,9
Node5,Node484,6
Node5,Node488,2
Node5,Node496,10
Node5,Node503,7
Node5,Node506,10
Node5,Node511,9
Node5,Node517,8
Node5,Node530,4
Node5,Node539,8
Node5,Node543,7
Node5,Node556,5
Node5,Node559,3
Node5,Node577,3
Node5,Node579,8
Node5,Node581,8
Node5,Node582,8
Node5,Node584,9
Node5,Node596,6
Node5,Node598,6
Node5,Node604,1
Node5,Node605,10
Node5,Node612,9
Node5,Node614,4
Node5,Node617,5
Node5,Node620,7
Node5,Node621,2
Node5,Node622,3
Node5,Node626,4
Node5,Node631,7
Node5,Node633,3
Node5,Node634,7
Node5,Node639,8
Node5,Node646,5
Node5,Node653,5
Node5,Node656,4
Node5,Node659,8
Node5,Node662,9
Node5,Node673,1
Node5,Node675,5
Node5,Node692,8
Node5,Node694,1
Node5,Node696,6
Node5,Node720,5
Node5,Node726,6
Node5,Node733,6
Node5,Node761,1
Node5,Node764,5
Node5,Node768,5
Node5,Node771,9
Node5,Node779,1
Node5,Node787,8
Node5,Node789,8
Node5,Node799,10
Node5,Node803,9
Node5,Node806,9
Node5,Node807,2
Node5,Node810,8
Node5,Node811,1
Node5,Node819,4
Node5,Node826,6
Node5,Node833,9
Node5,Node839,4
Node5,Node849,1
Node5,Node850,10
Node5,Node857,4
Node5,Node862,1
Node5,Node868,1
Node5,Node874,4
Node5,Node877,6
Node5,Node888,4
Node5,Node889,4
Node5,Node897,5
Node5,Node898,8
Node5,Node900,3
Node5,Node904,10
Node5,Node910,10
Node5,Node912,5
Node5,Node917,5
Node5,Node923,6
Node5,Node926,1
Node5,Node929,3
Node5,Node931,5
Node5,Node933,3
Node5,Node935,7
Node5,Node936,7
Node5,Node937,5
Node5,Node946,2
Node5,Node948,4
Node5,Node949,8
Node5,Node950,2
Node5,Node954,2
Node5,Node955,9
Node5,Node962,9
Node5,Node970,1
Node5,Node980,3
Node5,Node981,10
Node5,Node991,7
Node5,Node994,7
Node6,Node9,9
Node6,Node18,5
Node6,Node23,5
Node6,Node28,6
Node6,Node34,5
Node6,Node42,10
Node6,Node43,3
Node6,Node45,4
Node6,Node48,4
Node6,Node55,1
Node6,Node67,7
Node6,Node68,1
Node6,Node74,1
Node6,Node77,7
Node6,Node78,7
Node6,Node80,8
Node6,Node83,8
Node6,Node86,3
Node6,Node92,3
Node6,Node98,7
Node6,Node101,9
Node6,Node110,3
Node6,Node112,2
Node6,Node120,10
Node6,Node122,6
Node6,Node123,9
Node6,Node127,7
Node6,Node129,2
Node6,Node130,3
Node6,Node132,3
Node6,Node134,2
Node6,Node137,9
Node6,Node140,4
Node6,Node141,7
Node6,Node144,7
Node6,Node147,5
Node6,Node154,2
Node6,Node157,9
Node6,Node161,3
Node6,Node165,2
Node6,Node169,7
Node6,Node171,4
Node6,Node172,3
Node6,Node173,7
Node6,Node175,6
Node6,Node179,4
Node6,Node180,4
Node6,Node181,8
Node6,Node188,7
Node6,Node190,7
Node6,Node195,1
Node6,Node202,2
Node6,Node216,9
Node6,Node217,10
Node6,Node222,5
Node6,Node227,9
Node6,Node228,4
Node6,Node229,4
Node6,Node235,3
Node6,Node246,3
Node6,Node247,8
Node6,Node250,3
Node6,Node251,8
Node6,Node255,1
Node6,Node263,8
Node6,Node264,2
Node6,Node265,6
Node6,Node269,10
Node6,Node271,7
Node6,Node272,9
Node6,Node280,6
Node6,Node286,4
Node6,Node287,7
Node6,Node293,2
Node6,Node297,6
Node6,Node304,3
Node6,Node305,2
Node6,Node318,4
Node6,Node321,4
Node6,Node324,7
Node6,Node326,1
Node6,Node327,3
Node6,Node331,2
Node6,Node335,7
Node6,Node346,3
Node6,Node348,1
Node6,Node355,4
Node6,Node358,4
Node6,Node360,5
Node6,Node364,4
Node6,Node365,7
Node6,Node366,9
Node6,Node368,9
Node6,Node375,4
Node6,Node379,1
Node6,Node384,9
Node6,Node387,2
Node6,Node406,8
Node6,Node409,4
Node6,Node411,5
Node6,Node422,8
Node6,Node425,7
Node6,Node431,3
Node6,Node433,6
Node6,Node446,7
Node6,Node448,5
Node6,Node449,8
Node6,Node450,7
Node6,Node451,2
Node6,Node453,9
Node6,Node454,2
Node6,Node456,3
Node6,Node457,10
Node6,Node464,8
Node6,Node466,6
Node6,Node487,6
Node6,Node495,7
Node6,Node502,5
Node6,Node505,7
Node6,Node511,1
Node6,Node515,10
Node6,Node523,9
Node6,Node531,9
Node6,Node540,7
Node6,Node550,9
Node6,Node557,1
Node6,Node567,8
Node6,Node581,10
Node6,Node583,8
Node6,Node590,4
Node6,Node613,7
Node6,Node616,9
Node6,Node624,3
Node6,Node626,1
Node6,Node627,1
Node6,Node630,1
Node6,Node644,2
Node6,Node650,7
Node6,Node654,7
Node6,Node658,4
Node6,Node659,10
Node6,Node662,5
Node6,Node663,6
Node6,Node664,9
Node6,Node665,5
Node6,Node669,10
Node6,Node672,2
Node6,Node678,10
Node6,Node680,3
Node6,Node683,2
Node6,Node694,3
Node6,Node700,6
Node6,Node703,8
Node6,Node706,9
Node6,Node707,3
Node6,Node711,6
Node6,Node723,5
Node6,Node729,2
Node6,Node733,8
Node6,Node735,9
Node6,Node736,1
Node6,Node737,10
Node6,Node746,3
Node6,Node747,2
Node6,Node749,1
Node6,Node750,2
Node6,Node751,7
Node6,Node763,10
Node6,Node780,5
Node6,Node781,10
Node6,Node785,5
Node6,Node786,1
Node6,Node787,4
Node6,Node792,7
Node6,Node793,3
Node6,Node802,7
Node6,Node808,6
Node6,Node809,6
Node6,Node815,9
Node6,Node817,10
Node6,Node818,10
Node6,Node834,5
Node6,Node837,4
Node6,Node839,6
Node6,Node845,7
Node6,Node848,5
Node6,Node852,1
Node6,Node856,8
Node6,Node857,4
Node6,Node858,10
Node6,Node862,10
Node6,Node867,6
Node6,Node869,9
Node6,Node870,2
Node6,Node872,2
Node6,Node873,3
Node6,Node884,2
Node6,Node887,6
Node6,Node890,1
Node6,Node898,3
Node6,Node900,3
Node6,Node906,10
Node6,Node907,10
Node6,Node908,5
Node6,Node910,2
Node6,Node912,5
Node6,Node919,8
